BARCODE,ITEM,EXPIRE DATE,ITEM TYPE,BRAND,SALES GROUP,SUPPLIER,COST,SELL PRICE,EFFECTIVE DATE,AVAILABLE,ON HAND
8850006321133,Tpste GRF 37g,,,Colgate,Retail,MTC,15.0,16.0,2023-10-30,100,50
8850006344200,Tpste Batman 40g,,,Colgate,Retail,MTC,11.0,17.0,2023-10-30,150,100
8850006320518,Tpste GRF 74g,,,Colgate,Retail,MTC,11.0,12.0,2023-10-30,200,150
8850006320501,Tpste GRF 140g,,,Colgate,Retail,MTC,14.0,14.0,2023-10-30,250,200
8850006327432,Tpste GRF 2x132g,,,Colgate,Retail,MTC,15.0,15.0,2023-10-30,300,250
8850006342213,Tpste minions 40g,,,Colgate,Retail,MTC,16.0,16.0,2023-10-30,350,300
8850006327456,Tpste SF 2x120g,,,Colgate,Retail,MTC,14.6,14.6,2023-10-30,400,350
6920354823985,Tpste CMF 2x173g,,,Colgate,Retail,MTC,14.49,14.49,2023-10-30,450,400
8850006327425,Tpste GRF 2x195g,,,Colgate,Retail,MTC,14.37,14.37,2023-10-30,500,450
8850006327449,Tpste SF 2x173g,,,Colgate,Retail,MTC,14.26,14.26,2023-10-30,550,500
4800888217158,Tpste RH 2x175g,,,Close up,Retail,Montana,14.14,14.14,2023-10-30,600,550
GTPB210061,Ganozhi 75g,,,DXN,Retail,DXN,14.03,14.03,2023-10-30,650,600
4800135006542,Feminine Wash NP 50ml,,,pH care,Retail,Ultimate,13.91,13.91,2023-10-30,700,650
4800135005903,Feminine Wash FC 50ml,,,pH care,Retail,Ultimate,13.8,13.8,2023-10-30,750,700
9556006060001,Baby Bath MR 200ml,,,Johnson's,Retail,MTC,13.69,13.69,2023-10-30,800,750
9556006012093,Baby Bath TTT 200ml,,,Johnson's,Retail,MTC,13.57,13.57,2023-10-30,850,800
15564829,Baby Shampoo 100ml,,,Johnson's,Retail,MTC,13.46,13.46,2023-10-30,900,850
4801010524304,Shampoo AKSD 100ml,,,Johnson's,Retail,MTC,13.34,13.34,2023-10-30,950,900
4801010525004,Shampoo AKSH 100ml,,,Johnson's,Retail,MTC,13.23,13.23,2023-10-30,1000,950
9556006060193,Baby Bath SFFBS 100ml,,,Johnson's,Retail,MTC,13.11,13.11,2023-10-30,1050,1000
4800888226082,Bar Soap Sensitive 3x135g,,,Dove,Retail,Montana,13.0,13.0,2023-10-30,1100,1050
4800888220493,Bar Soap DN White 3x135g,,,Dove,Retail,Montana,12.89,12.89,2023-10-30,1150,1100
4800888168306,Bar Soap DN Pink 3x90g,,,Dove,Retail,Montana,12.77,12.77,2023-10-30,1200,1150
8000700000227,Bar Soap Sensitive 90g,,,Dove,Retail,Montana,12.66,12.66,2023-10-30,1250,1200
67238891183,Bar Soap DN Pink 90g,,,Dove,Retail,Montana,12.54,12.54,2023-10-30,1300,1250
8717644190494,Bar Soap DN White 90g,,,Dove,Retail,Montana,12.43,12.43,2023-10-30,1350,1300
4801010561309,Baby Soap Blossoms 100g,,,Johnson's,Retail,MTC,12.31,12.31,2023-10-30,1400,1350
4801010560500,Baby Soap 100g,,,Johnson's,Retail,MTC,12.2,12.2,2023-10-30,1450,1400
4902430160896,Bar Soap White 3x125g,,,Safeguard,Retail,Onyata,12.09,12.09,2023-10-30,1500,1450
4902430803724,Bar Soap LF 125g,,,Safeguard,Retail,Onyata,11.97,11.97,2023-10-30,1550,1500
4902430935593,Bar Soap FG 125g,,,Safeguard,Retail,Onyata,11.86,11.86,2023-10-30,1600,1550
4902430935616,Bar Soap FPA 125g,,,Safeguard,Retail,Onyata,11.74,11.74,2023-10-30,1650,1600
4902430197359,Bar Soap AF 115g,,,Safeguard,Retail,Onyata,11.63,11.63,2023-10-30,1700,1650
4800011113968,Bar Soap Coolness 135g,,,Bioderm,Retail,IPI,11.51,11.51,2023-10-30,1750,1700
4800011111162,Bar Soap Timeless 135g,,,Bioderm,Retail,IPI,11.4,11.4,2023-10-30,1800,1750
4800011114262,Bar Soap Freshen 135g,,,Bioderm,Retail,IPI,11.29,11.29,2023-10-30,1850,1800
4800011115061,Bar Soap Bloom 135g,,,Bioderm,Retail,IPI,11.17,11.17,2023-10-30,1900,1850
4809014128672,Kojic Soap Classic 3x65g,,,Kojie San,Retail,Nucam,11.06,11.06,2023-10-30,1950,1900
4809013300215,Kojic Soap Classic 2x65g,,,Kojie San,Retail,Nucam,10.94,10.94,2023-10-30,2000,1950
4806507831521,Bar Soap GP 90g,,,Silka,Silka,JT in Tandem,10.83,10.83,2023-10-30,2050,2000
4806507831170,Bar Soap Papaya 90g,,,Silka,Retail,JT in Tandem,10.71,10.71,2023-10-30,2100,2050
4800188108385,Bar Soap Papaya 135g,,,Likas,Retail,Ultimate,10.6,10.6,2023-10-30,2150,2100
4800011179049,Sulfur Soap 80g,,,Dr. S. Wong's,Retail,IPI,10.49,10.49,2023-10-30,2200,2150
4800011179063,Sulfur Soap 135g,,,Dr. S. Wong's,Retail,IPI,10.37,10.37,2023-10-30,2250,2200
4800888140869,Shampoo S&M 180ml,,,Sunsilk,Retail,Montana,10.26,10.26,2023-10-30,2300,2250
4808888004662,Shampoo AV Promo 180ml,,,Palmolive,Retail,MTC,10.14,10.14,2023-10-30,2350,2300
4032900150291,Mighty FF Red 20s,,,Mighty,Retail,Mighty,10.03,10.03,2023-10-30,2400,2350
4032900150291,Mighty FF Red 20s,,,Mighty,Wholesale,Mighty,9.91,9.91,2023-10-30,2450,2400
4032900150314,Mighty FF Red Pk10s,,,Mighty,Wholesale,Mighty,9.8,9.8,2023-10-30,2500,2450
4032900150437,Marvels FK Red 20s,,,Marvels,Retail,Mighty,9.69,9.69,2023-10-30,2550,2500
4032900150437,Marvels FK Red 20s,,,Marvels,Wholesale,Mighty,9.57,9.57,2023-10-30,2600,2550
4032900150444,Marvels FK Red Pk10s,,,Marvels,Wholesale,Mighty,9.46,9.46,2023-10-30,2650,2600
48040594,Winston PB Red 20s,,,Winston,Retail,Mighty,9.34,9.34,2023-10-30,2700,2650
48040594,Winston PB Red 20s,,,WInston,Wholesale,Mighty,9.23,9.23,2023-10-30,2750,2700
4800177073205,Winston PB Red Pk10s,,,Winston,Wholesale,Mighty,9.11,9.11,2023-10-30,2800,2750
48040884,Winston PB Red 10s,,,WInston,Retail,Mighty,9.0,9.0,2023-10-30,2850,2800
40329055,Camel Yellow 20s,,,Camel,Retail,Mighty,8.89,8.89,2023-10-30,2900,2850
40329055,Camel Yellow 20s,,,Camel,Wholesale,Mighty,8.77,8.77,2023-10-30,2950,2900
4032900000053,Camel Yellow Pk10s,,,Camel,Wholesale,Mighty,8.66,8.66,2023-10-30,3000,2950
48033800,Jackpot Menthol 20s,,,Jackpot,Retail,Marlboro,8.54,8.54,2023-10-30,3050,3000
48033800,Jackpot Menthol 20s,,,Jackpot,Wholesale,Marlboro,8.43,8.43,2023-10-30,3100,3050
4800177060205,Jackpot Menthol Pk10s,,,Jackpot,Wholesale,Marlboro,8.31,8.31,2023-10-30,3150,3100
